id,antecedent_name,consequent_name,created_at,status
1683,mega_man_(character),mega_man_(series),,active
1687,unicorn,horn,,active
1689,weighted_companion_cube,portal_(series),2012-02-14 01:31:56.461127,active
1690,glados,portal_(series),2012-02-14 01:37:01.947115,active
1691,chell,portal_(series),2012-02-14 01:38:21.946862,active
1692,wheatley,portal_(series),2012-02-14 01:48:41.058904,active
1693,nipple_penetration,nipples,2012-02-16 04:49:52.60805,active
1694,miyu_(star_fox),star_fox,2012-02-16 19:18:55.806216,deleted
1695,sharp_teeth,teeth,2012-02-18 14:40:33.626224,active
1699,worgen,werecanid,2012-02-24 01:12:37.633694,active
1701,cum_on_self,cum,2012-02-26 16:58:28.812918,active
1702,autobukkake,cum,2012-02-26 16:58:55.997914,active
1703,excessive_cum,cum,2012-02-26 16:59:21.836162,active
1710,cum_everywhere,messy,2012-02-28 11:02:14.520733,active
1711,chimera,hybrid,2012-02-28 11:11:56.820149,deleted
1714,pole_dancing,pole,2012-03-01 02:27:11.853873,active
1715,stripper_pole,pole,2012-03-01 02:27:23.799651,active
1716,parrot,bird,2012-03-01 02:49:17.873616,active
1719,short_hair,hair,2012-03-03 17:45:01.918865,active
1720,long_hair,hair,2012-03-03 17:45:14.995549,active
1721,brown_hair,hair,2012-03-03 17:46:13.058903,active
1723,dark_elf,elf,2012-03-03 21:05:32.008032,active
1724,blonde_hair,hair,2012-03-04 00:37:12.037858,active
1725,blue_hair,hair,2012-03-04 00:37:35.526997,active
1727,black_hair,hair,2012-03-04 00:38:08.561111,active
1728,red_hair,hair,2012-03-04 00:41:05.334158,active
1729,pink_hair,hair,2012-03-04 00:52:03.805306,active
1730,white_hair,hair,2012-03-04 00:52:15.956059,active
1731,purple_hair,hair,2012-03-04 00:52:27.303952,active
1732,green_hair,hair,2012-03-04 00:55:58.230081,active
1734,orange_hair,hair,2012-03-04 00:56:44.218176,active
1735,grey_hair,hair,2012-03-04 00:57:05.290774,active
1738,gauged_ear,ear_piercing,2012-03-04 23:01:54.585637,active
1743,dragon_ball_gt,dragon_ball,2012-03-06 22:39:20.402757,active
1744,dragon_ball_z,dragon_ball,2012-03-06 22:39:42.148058,active
1745,full_moon,moon,2012-03-10 00:46:30.775347,active
1746,tin_woodman,the_wonderful_wizard_of_oz,2012-03-10 04:00:09.563307,active
1747,dorothy_gale,the_wonderful_wizard_of_oz,2012-03-10 04:00:20.67109,active
1749,cowardly_lion,the_wonderful_wizard_of_oz,2012-03-10 04:00:49.491732,active
